Donations Report,
"#-------------------------------------------",
Charity Name,Asian Mental Health Collective
Charity ID,840-852046622
Period Ending,Thu 1 Aug 2024 0:00:00
Currency,USD
Payment Method,EFT
Disbursement ID,E0P6TJ0FAT
Note,Rounding may be applied to some values in this report. Learn more at https://causes.benevity.org/feedback-support
"#-------------------------------------------",

Company,Project,Donation Date,Donor First Name,Donor Last Name,Email,Address,City,State/Province,Postal Code,Activity,Comment,Transaction ID,Donation Frequency,Currency,Project Remote ID,Source,Reason,Total Donation to be Acknowledged,Match Amount,Cause Support Fee,Merchant Fee,Fee Comment
Microsoft Rewards / Give with Bing,Asian Mental Health Collective,2024-07-26T15:49:49Z,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,,,5NU243T7PT,One Time,USD,,,,1.11,0.00,0.00,0.00,
Totals,,,,,,,,,,,,,,,,,,1.11,0.00,0.00,0.00
Total Donations (Gross),1.11
Check Fee,0.00
Net Total Payment,1.11
